"numero_processo","ano","un_tecnica_responsavel","un_responsavel_agir","relator","assunto","ano_final"
65020153,2015,"SEC-PA Secretaria do TCU no Estado do Pará","SEC-PA Secretaria do TCU no Estado do Pará",4,"Convênio 251/2004 (SIAFI 528297). Objeto: execução de sistema de abastecimento de água",NULL
65120150,2015,"SEC-PA Secretaria do TCU no Estado do Pará","SEC-PA Secretaria do TCU no Estado do Pará",4,"Convênio 1.061/2002 (Siafi 473936). objeto: execução de sistema de esgotamento sanitário",NULL
65120192,2019,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Não comprovação da regular aplicação dos recursos repassados pela União, para atendimento ao Programa Nacional de Apoio ao Transporte Escolar (Pnate), exercício 2012, função EDUCACAO (nº da TCE no sistema: 110/2018).",2022
65220156,2015,"SEC-MT Secretaria do TCU no Estado de Mato Grosso","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",4,"Convênio 2122/2006 (SIAFI 570423). Objeto: execução de melhorias sanitárias domiciliares",NULL
65220199,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",12,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao Programa Nacional de Apoio ao Transporte Escolar (Pnate), exercício 2011, função EDUCACAO (nº da TCE no sistema: 119/2018).",2021
65320209,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada pelo(a) FUNDO NACIONAL DE SAÚDE - MS em razão de Não comprovação da regular aplicação dos recursos repassados pela União, função SAUDE, para atendimento à/ao Programa Estratégico - Atenção Básica - PAB Fixo (nº da TCE no sistema: 1946/2018).",2021
65420205,2020,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada pelo(a) FUNDO NACIONAL DE SAÚDE - MS em razão de Não comprovação da regular aplicação dos recursos repassados pela União, função SAUDE, para atendimento à/ao Ass.Far|Far.Pop|PROGRAMA FARMÁCIA POPULAR DO BRASIL (nº da TCE no sistema: 2054/2018).",2022
65520198,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",9,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, Termo de compromisso 20691/2013, firmado com o/a FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO, função EDUCACAO, que teve como objeto Construção uma Escola Padronizada com seis salas de aula para a Rede de Ensino. PAR - TD OBRA ESCOLA 06 SALAS - PROJETO FNDE. (nº da TCE no sistema: 283/2018).",2021
65520201,2020,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"Cuidam os autos de Tomada de Contas Especial instaurada pelo Fundo Nacional de Saúde/Ministério da Saúde (FNS/MS), em desfavor do estabelecimento comercial Drogaria e Perfumaria Ladinho e Filhos Ltda., solidariamente com a Sra. Maria Graciola de Melo Batista e o Sr. Geraldo Magela Batista, em razão da aplicação irregular de recursos do Sistema Único de Saúde (SUS) no âmbito do Programa Farmácia Popular do Brasil – Aqui Tem Farmácia Popular (PFPB), no período de março de 2013 a julho de 2014, o que teria ocasionado um prejuízo de R$ 98.345,44, em valores históricos, aos cofres do FNS.",2021
65620160,2016,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"TCE instaurada pelo Fundo Nacional de Desenvolvimento da Educação, em razão da Impugnação parcial de despesas, referente ao Programa de Apoio a Estados e Municípios para Educação Fundamental de Jovens e Adultos/2003, (Processo original: 23034.002680/2015-07).",2020
65620194,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao Programa Nacional de Alimentação Escolar (PNAE), exercício 2014, função EDUCACAO (nº da TCE no sistema: 112/2018).",2021
65720158,2015,"SEC-PA Secretaria do TCU no Estado do Pará","SEC-PA Secretaria do TCU no Estado do Pará",4,"Convênio 2126/2006 (SIAFI 569796). Objeto: execução de melhorias sanitárias domiciliares - MSD",NULL
65820197,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",15,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Não comprovação da regular aplicação dos recursos repassados pela União, para atendimento ao Programa Nacional de Alimentação Escolar (PNAE), exercício 2007, função EDUCACAO (nº da TCE no sistema: 87/2018).",2021
65820200,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada pelo(a) FUNDO NACIONAL DE SAÚDE - MS em razão de Não comprovação da regular aplicação dos recursos repassados pela União, função SAUDE, para atendimento à/ao Fora de bloco|Controle, Avaliação e Auditoria (nº da TCE no sistema: 1322/2019).",2021
65920193,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",9,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Não comprovação da regular aplicação dos recursos repassados pela União, para atendimento ao Programa Nacional de Apoio ao Transporte Escolar (Pnate), exercício 2013, função EDUCACAO (nº da TCE no sistema: 235/2018).",2022
66020191,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",15,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Não comprovação da regular aplicação dos recursos repassados pela União, para atendimento ao Programa Nacional de Apoio ao Transporte Escolar (Pnate), exercício 2010, função EDUCACAO (nº da TCE no sistema: 86/2018).",2021
66020205,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"TCE instaurada pelo(a) FUNDO NACIONAL DE SAÚDE - MS em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Convênio 140/2003, firmado com o/a MINISTERIO DA SAUDE, Siafi/Siconv 496521, função SAUDE, que teve como objeto AQIUSICAO DE EQUIPAMENTOS E MATERIAIS PERMANENTES (nº da TCE no sistema: 1764/2018).",2022
66220208,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"TCE instaurada pelo(a) FUNDO NACIONAL DE SAÚDE - MS em razão de Prática de qualquer ato ilegal, ilegítimo ou antieconômico de que resulte dano ao erário, Convênio 3432/2001, firmado com o/a MINISTERIO DA SAUDE, Siafi/Siconv 433189, função SAUDE, que teve como objeto AQUISICAO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE SAUDE DO SUS - MIRANTE DA SERRA - RO (nº da TCE no sistema: 2002/2018).",2021
66320158,2015,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",4,"Convênio 267/2004 (SIAFI 523650). Objeto: execução de sistema de abastecimento de água",NULL
66620203,2020,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada pelo(a) FUNDO NACIONAL DE SAÚDE - MS em razão de Não comprovação da regular aplicação dos recursos repassados pela União, função SAUDE, para atendimento à/ao Tetos Financeiros de Epidemiologia e Controle de Doenças e de Vigilância em Saúde. (nº da TCE no sistema: 3175/2019).",2020
66720153,2015,"SEC-AP Secretaria do TCU no Estado do Amapá","SEC-AP Secretaria do TCU no Estado do Amapá",10,"Contrato de Repassse nº 211.767-29/2006 (Siafi 584063). Objeto: implantação de sistema de abastecimento de água potável.",NULL
66720200,2020,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",15,"TCE instaurada pelo(a) Secretaria Especial do Desenvolvimento Social em razão de Não comprovação da regular aplicação dos recursos repassados pela União, função ASSISTENCIA SOCIAL, para atendimento à/ao PSB/PSE - 2009 (nº da TCE no sistema: 3413/2019).",2022
66820168,2016,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",2,"OMISSÃO DAS CONTAS DO CONV. SINCOV 734396/2010 (TERMO DE PARCERIA 2/2010), FIRMADO ENTRE O MINISTERIO DA JUSTIÇA/SENACON E O INSTITUTO DE PESQUISA AMBIENTAL - EKOS/TO",2021
66920156,2015,"SEC-PA Secretaria do TCU no Estado do Pará","SEC-PA Secretaria do TCU no Estado do Pará",10,"Convênio nº 030/1997 (Siafi 327986). Objeto: Projeto de Instalação de Sistema Elétrico",NULL
67320161,2016,"SEC-TO Secretaria do TCU no Estado de Tocantins","SEC-TO Secretaria do TCU no Estado de Tocantins",2,"TCE - MOTIVO: IMPUGNAÇÃO TOTAL DAS DESPESAS REF. AOS PROGRAMAS DE PROTEÇAO SOCIAL BASICA E PROTEÇÃO SOCIAL ESPECIAL - CONCEDENTE: FUNDO NACIONAL DE ASSISTENCIA SOCIAL - FNAS/MDS - CONVENENTE: PM DE ARAPOEMA/TO",2017
67720191,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",14,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao Programa Nacional de Apoio ao Transporte Escolar (Pnate), exercício 2011, função EDUCACAO (nº da TCE no sistema: 486/2018).",2022
67920160,2016,"SEC-PA Secretaria do TCU no Estado do Pará","SEC-PA Secretaria do TCU no Estado do Pará",10,"PEJA. Exercício: 2005",2019
68120180,2018,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"Convênio 741210/2010. Objeto: construção de estradas vicinais em área de reservas extrativistas.",2021
68420198,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",8,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao Programa Nacional de Apoio ao Transporte Escolar (Pnate), exercício 2012, função EDUCACAO (nº da TCE no sistema: 478/2018).",2021
69420169,2016,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",7,"Impugnação de despesas do Programa Nacional de Alimentação Escolar- PNAE 2007 -repassados à Prefeitura Municipal de São Gonçalo/RJ",2020
69520165,2016,"SEC-PA Secretaria do TCU no Estado do Pará","SEC-PA Secretaria do TCU no Estado do Pará",10,"PNAE. Exercícios: 2001 e 2003",2019
69620161,2016,"SEC-TO Secretaria do TCU no Estado de Tocantins","SEC-TO Secretaria do TCU no Estado de Tocantins",2,"TCE - MOTIVO: OMISSÃO DAS CONTAS DO CONVÊNIO 720490/2009, CELEBRADO ENTRE O FUNDO NACIONAL DE ASSISÊNCIA SOCIAL -FNAS/MDS E A PM DE FORTALEZA DO TOBOCÃO/TO",2017
69920195,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",9,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao Programa Dinheiro Direto na Escola (PDDE), exercício 2011, função EDUCACAO (nº da TCE no sistema: 477/2018).",2021
70020150,2015,"SEC-AM Secretaria do TCU no Estado do Amazonas","SEC-AM Secretaria do TCU no Estado do Amazonas",11,"Programa Nacional de Apoio ao Transporte Escolar-PNATE, exercício de 2009 - firmado entre Fundo Nacional de Desenvolvimento da Educação-FNDE e Município de Codajás/AM",NULL
70120157,2015,"SEC-AM Secretaria do TCU no Estado do Amazonas","SEC-AM Secretaria do TCU no Estado do Amazonas",11,"Programa Nacional de Alimentação Escolar-PNAE, exercício de 2008 - firmado entre Fundo Nacional de Desenvolvimento da Educação-FNDE e Município de Barcelos/AM",NULL
70220196,2019,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",13,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao Programa Nacional de Apoio ao Transporte Escolar (Pnate), exercício 2016, função EDUCACAO (nº da TCE no sistema: 419/2018).",2021
70320150,2015,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"Convênio CV-1.828/2009 - Siafi 727157 - firmado entre Ministério do Turismo e Prefeitura Municipal de Borba - AM",NULL
70820151,2015,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",14,"Convênio nº 702246/2008 (Siafi 650581), firmado entre o Ministério do Turismo e o Instituto Mundial de Desenvolvimento e da Cidadania-IMDC.",NULL
70920158,2015,"SEC-MG Secretaria do TCU no Estado de Minas Gerais","SEC-MG Secretaria do TCU no Estado de Minas Gerais",14,"Convênio nº 1596/2009 (Siafi 721999), firmado entre o Ministério do Turismo e o município de Frei Inocêncio/MG.",NULL
70920190,2019,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"TCE instaurada pelo(a) Fundo Nacional de Desenvolvimento da Educação em razão de Omissão no dever de prestar contas, para atendimento ao Programa Nacional de Apoio ao Transporte Escolar (Pnate), exercício 2016, função EDUCACAO (nº da TCE no sistema: 586/2018).",2021
71420151,2015,"SEC-MG Secretaria do TCU no Estado de Minas Gerais","SEC-MG Secretaria do TCU no Estado de Minas Gerais",14,"Convênio nº 371/2008 (Siafi 629152), firmado entre o Ministério do Turismo e o município de Chalé/MG.",NULL
71620154,2015,"SEC-MG Secretaria do TCU no Estado de Minas Gerais","SEC-MG Secretaria do TCU no Estado de Minas Gerais",14,"Convênio nº 343/2008 (Siafi 627952), firmado entre o Ministério do Turismo e o município de São João do Paraíso/MG.",NULL
71720150,2015,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",2,"TCE instaurada por meio do Processo 72031.012907/2010-45, em função de dano apurado no âmbito do Convênio 809/2008 (Siafi 632872), que tem como objeto incentivar o turismo, por meio da implementação do projeto intitulado ""Festa de São João de Batateira 2008"", firmado entre o Min. do Turismo e o município de Belém de Maria/PE. Irregularidades da documentação exigida.",NULL
71820157,2015,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",2,"TCE instaurada por meio do Processo 72031.013843/2010-08, em função de dano apurado no âmbito dos Convênios 702151/2008 e 704604/2009) firmados entre o Min do Turismo e o município de Tuparetama/PE, que tem como objeto a realização dos eventos - Festejos de Reveilion em Tuparetama/PE"" e ""Festa do Vaqueiro de Tuparetama "". Impugnação de despesas",NULL
71920153,2015,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"TCE instaurada pela Caixa Econômica Federal em razão da omissão no dever de prestar contas do Contrato de Repasse nº 0101.796-41/2000, celebrado com o Município de Serrolândia/BA (Processo original: 00190.015317/2014-64)",NULL
72020151,2015,"SEC-BA Secretaria do TCU no Estado da Bahia","SEC-BA Secretaria do TCU no Estado da Bahia",6,"TCE instaurada pelo Ministério do Turismo em razão do não encaminhamento da documentação exigida para a prestação de contas do Convênio nº 1138/2009, celebrado com o Município de Canudos/BA (Processo original: 72031.008378/2013-28)",NULL
72220154,2015,"SEC-PE Secretaria do TCU no Estado de Pernambuco","SEC-PE Secretaria do TCU no Estado de Pernambuco",6,"TCE instaurada pelo Ministério do Turismo em razão de irregularidades na documentação exigida para a prestação de contas do Convênio nº 740848/2010, celebrado com o Município de Nilo Peçanha/BA (Processo original: 72031.008791/2011-21)",NULL
72520153,2015,"SEC-BA Secretaria do TCU no Estado da Bahia","SEC-BA Secretaria do TCU no Estado da Bahia",6,"TCE instaurada pelo Fundo Nacional de Desenvolvimento da Educação em razão da impugnação total de despesas dos recursos repassados ao Município de Jucuruçu/BA, na modalidade fundo a fundo, à conta do Programa Nacional de Alimentação Escolar ¿ PNAE, no exercício de 1999 (Processo original: 23034.000878/2014-67)",NULL
72520188,2018,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"Convênio nº 756556/2011 (Siafi 756556). Objeto: execução de obras de estradas vicinais em projeto de assentamento.",2021
72620150,2015,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"Tomada de Contas Especial instaurada em razão de irregularidades verificadas na execução do convênio nº 1589/09 (SIAFI nº 703775/2009), firmado entre o Ministério do Turismo - MTur e o Município de Licínio de Almeida/BA, com o objetivo de apoiar a realização do evento denominado ""SAO JOAO DE LICINIO DE ALMEIDA"".",NULL
72620184,2018,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada por meio do Processo 00190.000629/201716, em função de dano apurado no âmbito do Contrato de Repasse n. 255.752-83/2008, firmado entre o Ministério das Cidades e a Prefeitura de Belo Jardim/PE, que tem por objeto a transferência de recursos da União para a execução de Implantação ou Melhoria de Obras de Infraestrutura Urbana - Ações de Infraestrutura Urbana- Belo Jardim-PE.",2020
72820152,2015,"SEC-MG Secretaria do TCU no Estado de Minas Gerais","SEC-MG Secretaria do TCU no Estado de Minas Gerais",14,"Convênio nº 739389/2010 (Siafi 739389), firmado entre o Ministério do Turismo e o município de Buritizeiro/MG.",NULL
72820187,2018,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada pelo DNOCS, em razão da impugnação parcial das despesas realizadas com os recursos do Conv. nº 114/2008, celebrado com a PM de Pendências/RN, tendo por objeto ""relocação de 40 (quarenta) unidades habitacionais nas comunidades de Ilha São Francisco, Massapê, Boa Vista, Pedrinhas e Amargoso"", naquele Município, com vigência estipulada para o período de 19/1/2009 a 19/7/2013 (Siafi).",2020
72920159,2015,"SEC-MG Secretaria do TCU no Estado de Minas Gerais","SEC-MG Secretaria do TCU no Estado de Minas Gerais",14,"Convênio nº 741213/2010 (Siafi 741213), firmado entre o Ministério do Turismo e o Instituto FACC.",NULL
73020165,2016,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",14,"Convênio 1.117/2005 (Siafi 555366). Objeto: a execução de melhorias sanitárias em 80 unidades habitacionais do município de Vitorino Freire/MA",2021
73220184,2018,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada por meio do Processo 00190.000031/2017-27, em função de dano no Contrato de Repasse 197.517-85/ 2006, firmado entre o Ministério do Desenvolvimento Agrário e o Centro das Mulheres do Cabo/PE, que tem por objeto a transferência de recursos da para capacitação em agroecologia a famílias da micro região do Cabo de Santo Agostinho e do território rural da Mata Sul de PE",2020
73320164,2016,"SEC-TO Secretaria do TCU no Estado de Tocantins","SEC-TO Secretaria do TCU no Estado de Tocantins",14,"Impugnação total de despesas dos recursos repassados à conta do Programa Nacional de Apoio ao Transporte Escolar - PNATE, no exercício de 2009.",2017
73520167,2016,"SEC-RS Secretaria do TCU no Estado do Rio Grande do Sul","SEC-RS Secretaria do TCU no Estado do Rio Grande do Sul",14,"Tomada de Contas Especial n° 23034.002707/2015-53, instaurada pelo FNDE, em razão da impugnação total das despesas realizadas com recursos repassados à Prefeitura de Água Doce do Maranhão/MA, à conta do Programa Nacional de Alimentação Escolar - PNAE, no exercício de 2008",2019
73720160,2016,"Seproc Secretaria de Apoio à Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"TCE instaurada pelo Ministério do Meio Ambiente, em razão do não encaminhamento de documentação exigida para a prestação de contas referente ao convênio nº135/2006, (Processo original: 02000.001556/2015-33).",2022
73720186,2018,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"Convênio nº 10004/2006 (Siafi 559981). Objeto: construção de estradas vacinais no Projeto de Desenvolvimento Sustentável-Brasília - PDS Brasília..",2020
73820166,2016,"SEC-PA Secretaria do TCU no Estado do Pará","SEC-PA Secretaria do TCU no Estado do Pará",10,"Convênio nº 74/2006 (Siafi: 560603). Objeto: promover a recuperação das matas que margeiam o Igarapé Pacal e seus córregos no território do município.",2019
74320160,2016,"SEC-BA Secretaria do TCU no Estado da Bahia","SEC-BA Secretaria do TCU no Estado da Bahia",6,"TCE instaurada pela Fundação Nacional de desenvolvimento da Educação, em razão da omissão no dever de legal de prestar contas e Irregularidades na comprovação da execução dos recursos, referente ao Programa Nacional de Apoio ao transporte Escolar e Programa de Apoio aos Sistemas de Ensino para Atendimento a Educação de Jovens e Adultos, (Processo original:23034.002638/2015-88).",2018
74720165,2016,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",15,"Programa de Atenção à Criança - PAC/2004 - Impugnação parcial de despesas",2018
74720203,2020,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",14,"TCE instaurada pelo(a) Secretaria Especial de Cultura em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Convênio 00341/2008, firmado com o/a MINISTERIO DA CULTURA, Siafi/Siconv 702365, função CULTURA, que teve como objeto Apoio na realização do Projeto Cultura em Movimento no Distrito Federal este projeto visa a promoção, divulgação, integração e circulação de atividades culturais nas diversas cidades que compõem a Capital da República. Este projeto possibilitará uma nova forma de organização sócio-cultural. Promoverá ações nas cidades satélites, possibilitando o acesso aos bens culturais a toda a população, e contribuirá para a geração de emprego e renda. (nº da TCE no sistema: 611/2018).",2022
75420153,2015,"SEC-RN Secretaria do TCU no Estado do Rio Grande do Norte","SEC-RN Secretaria do TCU no Estado do Rio Grande do Norte",5,"TCE INSTAURADA CONTRA O SR. FRANCISCO DE ASSIS SILVA, POR FORÇA DA IMPUGNAÇÃO PARCIAL DE DESPESAS RELATIVAS AO PEJA, EXERCÍCIO DE 2005.",NULL
75920163,2016,"SEC-MG Secretaria do TCU no Estado de Minas Gerais","SEC-MG Secretaria do TCU no Estado de Minas Gerais",14,"Recursos repassados pelo Fundo Nacional de Desenvolvimento da Educação-FNDE ao Município de Cajapió/MA, para a execução do Programa Nacional de Alimentação Escolar/PNAE, nas modalidades educação de jovens e adultos (EJA), fundamental e pré-escola, e do Programa Nacional de Apoio ao Transporte Escolar/PNATE (Proc. n° 23034.002660/2015-28)",2018
76120150,2015,"SEC-PB Secretaria do TCU no Estado da Paraíba","SEC-PB Secretaria do TCU no Estado da Paraíba",8,"TCE contra Vani Leite Braga de Figueiredo - ex-prefeita, a Empresa LOPEL - Lopes Engenharia Ltda e José Pereira da Silva Filho - Sócio da LOPEL - Conversão de REPR - Órgão: PM de Conceição/PB, sobre possíveis irregularidades ocorridas no Município de Conceição/PB, relacionadas a direcionamento de licitações e desvio de recursos públicos.",NULL
77020159,2015,"SEC-CE Secretaria do TCU no Estado do Ceará","SEC-CE Secretaria do TCU no Estado do Ceará",11,"TCE CONTRA O SENHOR JOSÉ LEITE LANDIM, EX-PREFEITO MUNICIPAL DE MISSÃO VELHA-CE, GESTÕES 1997-2000 E 2001-2004 EM RAZÃO DA IMPUGNAÇÃO PARCIAL DE DESPESAS DO PROGRAMA PEJA/2004. FNDE/ME. PROCESSO Nº 23034.000887/2014-58. OFÍCIO AECI/GM-MEC/Nº 01/2015.",NULL
77120163,2016,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",15,"PETI/2003 - Impugnação parcial de despesas",2021
77720161,2016,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada em razão da falta de complementação das obras objeto do Contrato de Repasse 214.267-33/2006 (Siafi 581665), celebrado entre o Ministério do Turismo e a Prefeitura Municipal de Anori/AM, com interveniência da Caixa Econômica Federal, tendo por objeto a Construção de Balneário Público, com vigência estipulada para o período de 27/12/2006 a 31/12/2014.",2020
78020189,2018,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",9,"TCE - Tomada de Contas Especial processo nº 53101.002923/2017-81, referente a prejuízo causado por fraude/desvio ocorrido no âmbito da Empresa Brasileira de Correios e Telégrafos (Correios).",2021
78120185,2018,"SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",11,"TCE instaurada por meio do Processo 00190.000031/2017-27, em função de dano apurado no âmbito do Convênio n. CRT/01770/2004, firmado entre o Incra e a Associação dos Guardiães Ambientalistas do Vale do São Francisco, que tem por objeto viabilizar a disseminação de tecnologias agroecológicas de fácil utilização e baixo custo operacional.",2018
78120207,2020,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",14,"TCE instaurada pelo(a) Secretaria Especial de Cultura em razão de Não comprovação da regular aplicação dos recursos repassados pela União, Lei nº 8.313/1991 (Lei federal de Incentivo à Cultura/Rouanet), que teve por objeto Utilizando a dança como sua principal expressão, o Projeto ""Dançarte - Teatro e Dança Contemporânea'' irá beneficiar jovens adolescentes de comunidades carentes que aprenderão sobre cultura, arte e cidadania. Realizar um espetáculo com oito apresentações produzido e estrelado pelos jovens beneficiados com o projeto. (nº da TCE no sistema: 674/2018).",2022
78520156,2015,"SEC-MT Secretaria do TCU no Estado de Mato Grosso","SEC-MT Secretaria do TCU no Estado de Mato Grosso",7,"Convênio nº 720493/2009 (SICONV 720493). Objeto: incentivo ao Turismo por meio de apoio à realização do projeto ""Reveillon da Família Pontebranquense"".",NULL
78820180,2018,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"Convênio nº 703842/2010 (Siafi 665173). Objeto: aquisição de veiculo para transporte escolar.",2020
78920151,2015,"SEC-MT Secretaria do TCU no Estado de Mato Grosso","SEC-MT Secretaria do TCU no Estado de Mato Grosso",7,"Convênio nº 1608/2009 (SICONV 722025/2009). Objeto: incentivo ao turismo por meio de apoio à realização do projeto ""Carnaval de Lambari - 2010"".",NULL
79320159,2015,"Seproc Secretaria de Apoio à Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",8,"Tomada de contas especial instaurada pelo Ministério do Turismo contra a Prefeitura Municipal de Turiúba/SP por irregularidades na documentação exigida para a prestação de contas. (Proc. 72031.007486/2011-11, conv. 517/2008, Fiafi 631615)",NULL
79420180,2018,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"Irregularidades na aplicação de recursos do SUS transferido ao município na modalidade fundo a fundo.",2022
79520151,2015,"Seproc Secretaria de Gestão de Processos","SecexTCE Secretaria de Controle Externo de Tomada de Contas Especial",6,"Ministério do Turismo. Convênio 738476/2010. Convenente: P.M. Gravatal/SC. Responsável: Rudinei Carlos do Amaral Fernandes (ex-prefeito). ""4º Encontro de Jipeiros de Gravatal"". Não encaminhamento de documentação exigida para a prestação de contas. Débito: R$ 117.524,04 (07/08/2014).",NULL
